Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
multicolour-beanies,,,,,,,,,1-4 yrs,,Storm,,,H100-1224-20,0.0,shopify,1,deny,manual,42.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/kids-multi-colour-beanie-storm.jpg?v=1668750198,kg,,,,,
baby-track-suit,Baby Track Suit,"<p>A baby track suit Weebits style - slouchy sweater, knitted baby pants and chunky booties.<br>Soft natural merino knits for baby to lounge around in comfort.</p>
<p>Our slouchy is a simple merino baby sweater - raw edges with a slit at the back and fold back sleeves. Small button fastening.<br>Knitted baby pants - snug and warm with an elastic waist for easy slip on and off.<br>Double knit booties with a crocheted chain to keep securely on your baby's foot.</p>
<p>A beautiful little set.</p>
Check out the individual garments that that are included in this gift set:
<div class=""textpad30"">
<a title=""Baby slouchy sweater"" href=""/products/baby-slouchy-sweater"">Baby Slouchy Sweater</a><br>
  <a title=""Baby beanies"" href=""/products/baby-beanies"">Baby Beanie</a><br>
  <a title=""Chunky knit booties"" href=""/products/chunky-knit-booties"">Chunky Knit Booties</a>
</div>
<br>
<p>All Weebits orders arrive in a gift box ready to share with family and friends.</p>",Weebits,Apparel & Accessories > Clothing > Baby & Toddler Clothing,Gift Set,"AGE_ 0-3 months, AGE_ 3-6 months, Baby gift ideas, Baby gift sets, COLOUR_Mint, COLOUR_Mushroom, COLOUR_Natural, COLOUR_Oatmeal Marle, COLOUR_Pink",true,Size,0-3 mths,Colour,Natural,Ankle Tie on Pants,No Ankle Tie,G322-0003-00,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",https://cdn.shopify.com/s/files/1/2115/6269/products/natural-baby-track-suit.jpg?v=1668642887,1,Natural baby track suit,false,Baby Track Suit | Baby Gift Sets | Weebits,"A baby track suit to lounge around in. Slouchy sweater, knitted baby pants and chunky booties. Unisex knitted merino baby gift sets.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/natural-baby-track-suit.jpg?v=1668642887,kg,,,,,active
baby-track-suit,,,,,,,,,0-3 mths,,Natural,,Ankle Tie,G322-0003-00_A,0.0,shopify,1,deny,manual,159.00,172.45,true,false,,https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-baby-track-suit.jpg?v=1668642887,2,Oatmeal baby track suit,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/knitted-pants-with-ankle-ties.jpg?v=1664674339,kg,,,,,
baby-track-suit,,,,,,,,,0-3 mths,,Oatmeal Marle,,No Ankle Tie,G322-0003-11,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",https://cdn.shopify.com/s/files/1/2115/6269/products/pink-baby-track-suit.jpg?v=1668642887,3,Pink baby track suit,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-baby-track-suit.jpg?v=1668642887,kg,,,,,
baby-track-suit,,,,,,,,,0-3 mths,,Oatmeal Marle,,Ankle Tie,G322-0003-11_A,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",https://cdn.shopify.com/s/files/1/2115/6269/products/mint-baby-track-suit.jpg?v=1668642887,4,Mint baby track suit,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/baby-wearing-oatmeal-knitted-pants-ankle-ties.jpg?v=1664674344,kg,,,,,
baby-track-suit,,,,,,,,,0-3 mths,,Pink,,No Ankle Tie,G322-0003-05,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",https://cdn.shopify.com/s/files/1/2115/6269/products/mushroom-baby-track-suit.jpg?v=1668642887,5,Mushroom baby track suit,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/pink-baby-track-suit.jpg?v=1668642887,kg,,,,,
baby-track-suit,,,,,,,,,0-3 mths,,Pink,,Ankle Tie,G322-0003-05_A,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",https://cdn.shopify.com/s/files/1/2115/6269/products/knitted-pants-with-ankle-ties.jpg?v=1664674339,6,knitted pants with ankle ties,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/knitted-pants-with-ankle-ties.jpg?v=1664674339,kg,,,,,
baby-track-suit,,,,,,,,,0-3 mths,,Mint,,No Ankle Tie,G322-0003-06,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",https://cdn.shopify.com/s/files/1/2115/6269/products/baby-wearing-oatmeal-knitted-pants-ankle-ties.jpg?v=1664674344,7,Baby wearing oatmeal knitted pants with ankle ties,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/mint-baby-track-suit.jpg?v=1668642887,kg,,,,,
baby-track-suit,,,,,,,,,0-3 mths,,Mint,,Ankle Tie,G322-0003-06_A,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/knitted-pants-with-ankle-ties.jpg?v=1664674339,kg,,,,,
baby-track-suit,,,,,,,,,0-3 mths,,Mushroom,,No Ankle Tie,G322-0003-01,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/mushroom-baby-track-suit.jpg?v=1668642887,kg,,,,,
baby-track-suit,,,,,,,,,0-3 mths,,Mushroom,,Ankle Tie,G322-0003-01_A,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/knitted-pants-with-ankle-ties.jpg?v=1664674339,kg,,,,,
baby-track-suit,,,,,,,,,3-6 mths,,Natural,,No Ankle Tie,G322-0306-00,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/natural-baby-track-suit.jpg?v=1668642887,kg,,,,,
baby-track-suit,,,,,,,,,3-6 mths,,Natural,,Ankle Tie,G322-0306-00_A,0.0,shopify,1,deny,manual,159.00,172.45,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/knitted-pants-with-ankle-ties.jpg?v=1664674339,kg,,,,,
baby-track-suit,,,,,,,,,3-6 mths,,Oatmeal Marle,,No Ankle Tie,G322-0306-11,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-baby-track-suit.jpg?v=1668642887,kg,,,,,
baby-track-suit,,,,,,,,,3-6 mths,,Oatmeal Marle,,Ankle Tie,G322-0306-11_A,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/baby-wearing-oatmeal-knitted-pants-ankle-ties.jpg?v=1664674344,kg,,,,,
baby-track-suit,,,,,,,,,3-6 mths,,Pink,,No Ankle Tie,G322-0306-05,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/pink-baby-track-suit.jpg?v=1668642887,kg,,,,,
baby-track-suit,,,,,,,,,3-6 mths,,Pink,,Ankle Tie,G322-0306-05_A,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/knitted-pants-with-ankle-ties.jpg?v=1664674339,kg,,,,,
baby-track-suit,,,,,,,,,3-6 mths,,Mint,,No Ankle Tie,G322-0306-06,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/mint-baby-track-suit.jpg?v=1668642887,kg,,,,,
baby-track-suit,,,,,,,,,3-6 mths,,Mint,,Ankle Tie,G322-0306-06_A,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/knitted-pants-with-ankle-ties.jpg?v=1664674339,kg,,,,,
baby-track-suit,,,,,,,,,3-6 mths,,Mushroom,,No Ankle Tie,G322-0306-01,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/mushroom-baby-track-suit.jpg?v=1668642887,kg,,,,,
baby-track-suit,,,,,,,,,3-6 mths,,Mushroom,,Ankle Tie,G322-0306-01_A,0.0,shopify,1,deny,manual,159.00,172.45,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/knitted-pants-with-ankle-ties.jpg?v=1664674339,kg,,,,,
tank-top-beanie-and-loafers,"Tank Top, Beanie & Loafers","<p>Hand knitted merino baby tank top, beanie and loafer set<br>A loose fitting, chunky knit vest - easy to slip over the head.<br>Room to add layers underneath in the cooler months or keep it simple in the summer<br>Add a little pair of loafers and a snug beanie for a perfect baby shower gift</p>
<p>Soft to a baby's skin with lots of stretch and warmth.<br>Tank top comes in one size 0-6mths<br>Beanie and loafers - choice of 0-3 or 3-6mths</p>
Also, check out the individual garments that that are included in this gift set:
<div class=""textpad30"">
<a title=""Baby Tank Top"" href=""/products/baby-tank-top"">Baby Tank Top</a><br> <a title=""Baby Beanies"" href=""/products/baby-beanies"">Baby Beanies</a><br> <a title=""Baby Loafers"" href=""/products/baby-loafers"">Baby Loafers</a>
</div>
<br>
<p>All our merino baby clothes are coloured using <a title=""read about ecofriendly dyes"" href=""/pages/natural-fabrics#ecodyes"">ecofriendly dyes</a>.<br> Knitted locally in New Zealand using pure 8ply <a title=""read more about merino wool"" href=""/pages/natural-fabrics#merino"">merino wool</a> sourced from Woolyarns NZ and prized worldwide for its superior qualities.</p>",Weebits,Apparel & Accessories > Clothing > Baby & Toddler Clothing,Gift Set,"AGE_ 0-3 months, AGE_ 3-6 months, baby beanie, baby boy, Baby gift set, Baby gift sets, Baby gifts, Baby gifts NZ made, baby girl, baby loafers, Baby Shower  Gifts, Baby Tank Top, COLOUR_Mushroom, COLOUR_Natural, COLOUR_Oatmeal Marle, Footwear, gift ideas, Gift Set",true,Size,0-3 mths,Colour,Oatmeal Marle,,,G321-0003-11,0.0,shopify,1,deny,manual,102.50,115.30,true,true,,https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-baby-tank-top-beanie-loafer-set.jpg?v=1664853171,1,Oatmeal baby tank top beanie loafer set,false,,"A loose fitting, chunky knit vest - easy to slip over the head. Add a little pair of loafers and a snug beanie for a perfect baby shower gift.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-baby-tank-top-beanie-loafer-set.jpg?v=1664853171,kg,,,,,active
tank-top-beanie-and-loafers,,,,,,,,,0-3 mths,,Mushroom,,,G321-0003-01,0.0,shopify,1,deny,manual,102.50,115.30,true,true,,https://cdn.shopify.com/s/files/1/2115/6269/products/baby-tank-top-beanie-loafer-set-in-mushroom.jpg?v=1664853175,2,baby tank top beanie loafer set in mushroom,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/baby-tank-top-beanie-loafer-set-in-mushroom.jpg?v=1664853175,kg,,,,,
tank-top-beanie-and-loafers,,,,,,,,,0-3 mths,,Natural,,,G321-0003-00,0.0,shopify,1,deny,manual,102.50,115.30,true,true,,https://cdn.shopify.com/s/files/1/2115/6269/products/baby-tank-top-beanie-loafer-set-in-natural.jpg?v=1664853178,3,baby tank top beanie loafer set in natural,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/baby-tank-top-beanie-loafer-set-in-natural.jpg?v=1664853178,kg,,,,,
tank-top-beanie-and-loafers,,,,,,,,,3-6 mths,,Oatmeal Marle,,,G321-0306-11,0.0,shopify,1,deny,manual,102.50,115.30,true,true,,https://cdn.shopify.com/s/files/1/2115/6269/products/stack-of-baby-tank-top-beanie-loafer-gift-set.jpg?v=1664853182,4,stack of baby tank top beanie loafer gift set,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/oatmeal-baby-tank-top-beanie-loafer-set.jpg?v=1664853171,kg,,,,,
tank-top-beanie-and-loafers,,,,,,,,,3-6 mths,,Mushroom,,,G321-0306-01,0.0,shopify,1,deny,manual,102.50,115.30,true,true,,https://cdn.shopify.com/s/files/1/2115/6269/products/natural-and-mushroom-tank-top-gift-sets.jpg?v=1664853186,5,Natural and mushroom tank top gift sets,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/baby-tank-top-beanie-loafer-set-in-mushroom.jpg?v=1664853175,kg,,,,,
tank-top-beanie-and-loafers,,,,,,,,,3-6 mths,,Natural,,,G321-0306-00,0.0,shopify,1,deny,manual,102.50,115.30,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/baby-tank-top-beanie-loafer-set-in-natural.jpg?v=1664853178,kg,,,,,
